Year,Month,NewVacancy,NewSeeker,Vacancy,Seeker,Hir
2002,1,592705,747803,1367944,2715390,124421
2002,2,597159,616711,1437095,2724744,142786
2002,3,665116,668621,1588968,2831569,193457
2002,4,622618,941809,1571092,3096241,251455
2002,5,573586,689247,1442680,3027811,196755
2002,6,542573,554152,1380185,2857651,163356
2002,7,620261,627229,1438959,2814685,167528
2002,8,589527,548212,1451105,2692976,142436
2002,9,616389,598856,1542417,2685284,166973
2002,10,675867,665110,1609468,2723666,184061
2002,11,583834,531189,1554343,2587151,156299
2002,12,502145,499407,1453547,2463954,130864
2003,1,665574,725692,1513982,2569925,133449
2003,2,657654,613541,1602350,2578948,150948
2003,3,721410,664704,1751645,2710557,204176
2003,4,672118,891258,1715171,2925681,252840
2003,5,620859,679810,1581452,2850509,199895
2003,6,611145,592727,1534779,2745950,177616
2003,7,680748,598345,1585243,2671591,172620
2003,8,642414,519964,1603148,2518749,145104
2003,9,726121,615878,1754752,2519722,185098
2003,10,783548,628197,1857801,2513230,194360
2003,11,654285,472647,1806082,2333073,155758
2003,12,605846,498600,1734371,2224136,141853
2004,1,773540,692003,1793241,2323671,140876
2004,2,742918,586750,1881985,2350837,158170
2004,3,869369,702685,2085432,2531766,229606
2004,4,774089,839621,2016387,2688519,253208
2004,5,655155,578700,1835170,2545115,189164
2004,6,738865,578697,1851809,2474029,183722
2004,7,752203,539871,1857204,2379991,167813
2004,8,729308,520291,1916956,2315840,155374
2004,9,810472,560237,2022091,2291829,180510
2004,10,832228,537583,2088862,2247992,176787
2004,11,795452,506131,2132912,2187211,168755
2004,12,668331,463306,1993904,2088448,141066
2005,1,841905,636786,2044534,2192501,138446
2005,2,828807,533886,2107621,2209317,155263
2005,3,936394,637835,2318151,2368556,218593
2005,4,821630,776338,2243139,2519075,241891
2005,5,756455,590262,2102680,2467401,195211
2005,6,820660,554658,2083286,2408154,187408
2005,7,797390,495073,2056859,2287939,163449
2005,8,829185,528677,2136331,2244773,160837
2005,9,873986,552325,2215738,2221944,177401
2005,10,868499,551882,2269764,2215726,180418
2005,11,826835,484015,2261061,2132251,168929
2005,12,706294,428280,2118800,1992464,135606
2006,1,900012,617699,2199430,2075606,136687
2006,2,917542,551253,2319197,2116746,163154
2006,3,960296,626109,2494902,2279650,225037
2006,4,841269,731005,2381173,2396132,235838
2006,5,819901,573684,2247869,2333615,198708
2006,6,849159,535569,2215597,2260488,186422
2006,7,833193,494915,2206596,2170525,165328
2006,8,867484,509752,2264754,2135287,158696
2006,9,893160,537016,2341222,2119580,179288
2006,10,883005,540894,2368486,2123769,182581
2006,11,835069,463014,2322676,2033785,165711
2006,12,730327,433868,2176097,1922987,139450
2007,1,874578,614473,2207093,2017092,138975
2007,2,876987,533761,2277838,2061352,161769
2007,3,915825,583391,2401082,2191239,212605
2007,4,813362,695167,2284334,2292480,223080
2007,5,801118,579099,2180232,2263535,197447
2007,6,789840,503364,2119311,2175627,174541
2007,7,799012,492121,2119200,2115420,161718
2007,8,809019,484099,2142618,2062959,150417
2007,9,775087,485266,2154435,2023723,160200
2007,10,848976,549887,2213052,2073156,181186
2007,11,743772,446869,2114004,1985743,158822
2007,12,620196,398770,1944419,1870519,126414
2008,1,788568,577441,1956044,1948094,128804
2008,2,789810,531187,2027935,1997178,155939
2008,3,720611,563912,2050562,2072320,185708
2008,4,711010,702945,1955789,2204364,178840
2008,5,676470,544600,1840422,2186757,166269
2008,6,648454,509748,1790096,2145808,162227
2008,7,690886,510656,1783111,2113503,159378
2008,8,636546,457893,1739790,2044755,133549
2008,9,670953,542603,1794296,2083138,164012
2008,10,695583,576298,1796122,2141913,170936
2008,11,567502,458917,1675889,2080117,138437
2008,12,545714,515745,1569914,2079953,126722
2009,1,643207,754436,1548923,2306886,135140
2009,2,552204,691461,1511227,2486006,152385
2009,3,559966,768004,1477931,2731524,190840
2009,4,522317,905670,1333969,2999947,180240
2009,5,443386,625338,1191922,2970184,155250
2009,6,503546,661467,1198324,2986571,176137
2009,7,529071,628843,1198898,2946940,172873
2009,8,482549,561136,1197944,2859399,155626
2009,9,531560,612362,1266889,2809200,176944
2009,10,565097,652301,1307691,2805525,186157
2009,11,489010,542217,1271332,2691889,167203
2009,12,450947,515428,1201567,2555684,149856
2010,1,556881,704777,1248870,2613829,144002
2010,2,540525,636721,1314200,2645578,159477
2010,3,600828,776317,1412230,2847418,217174
2010,4,552067,866288,1346913,3010118,205255
2010,5,497959,635679,1278273,2920230,177246
2010,6,568229,649361,1333209,2851542,192588
2010,7,578023,595112,1359926,2738941,181951
2010,8,574031,585888,1416946,2666115,167618
2010,9,623768,629328,1512682,2639676,190736
2010,10,643538,613143,1563636,2614657,187865
2010,11,599677,560053,1573977,2539427,177449
2010,12,522190,485502,1482745,2383684,150291
2011,1,661795,669295,1546543,2429459,142856
2011,2,664395,653685,1642510,2491176,160985
2011,3,664022,718223,1725149,2671738,212747
2011,4,619556,873881,1610497,2867380,202817
2011,5,584345,677198,1528713,2845215,184884
2011,6,639608,635265,1572886,2799246,195822
2011,7,648582,549012,1597141,2652531,177310
2011,8,679635,603064,1692201,2599759,174858
2011,9,701898,585709,1779034,2550447,191144
2011,10,719365,585590,1830289,2531153,189344
2011,11,684716,519132,1831926,2418325,177858
2011,12,597353,445916,1733786,2263058,153315
2012,1,744046,633211,1800094,2307830,149053
2012,2,772786,603182,1917405,2371713,171753
2012,3,765250,662129,2006949,2529444,222652
2012,4,707643,759838,1918994,2659226,208260
2012,5,727377,630777,1889898,2660799,200205
2012,6,716929,545261,1880123,2561352,190928
2012,7,731724,525232,1903515,2469769,180528
2012,8,751047,520751,1942886,2393670,163427
2012,9,739262,538813,1983867,2364338,176905
2012,10,818963,594653,2070656,2411841,193860
2012,11,741893,492221,2035773,2328930,174058
2012,12,628292,413926,1913502,2169320,144292
2013,1,813874,618649,1972132,2223440,143543
2013,2,809267,566456,2074313,2275178,165125
2013,3,793120,609867,2161975,2409582,216009
2013,4,782029,754536,2089945,2555085,210318
2013,5,774496,591508,2047253,2537394,194210
2013,6,744027,491647,2029896,2410986,179330
2013,7,826655,527531,2094254,2332332,182784
2013,8,783452,480039,2107117,2238265,155430
2013,9,807361,514811,2190976,2226875,176925
2013,10,907268,532501,2281520,2223658,188597
2013,11,793007,436425,2253928,2112498,163168
2013,12,696509,385709,2147884,1964412,142545
2014,1,919073,577125,2215487,2026639,142979
2014,2,866811,504353,2306384,2055336,161324
2014,3,835558,550520,2378962,2155469,210300
2014,4,860474,709260,2298448,2298735,201343
2014,5,805563,529245,2235038,2280255,181289
2014,6,804167,483145,2235100,2211063,178143
2014,7,863997,478281,2252506,2124512,171077
2014,8,778650,436050,2223039,2042768,142838
2014,9,858232,505356,2303670,2062721,173512
2014,10,917184,496907,2363217,2067430,176341
2014,11,758366,388665,2300020,1956892,145379
2014,12,735250,367745,2208920,1829069,134104
2015,1,946562,538684,2281174,1886534,134768
2015,2,881491,509482,2396097,1956321,155800
2015,3,875144,540896,2478828,2070500,202536
2015,4,861080,653917,2359790,2184420,191606
2015,5,773440,472079,2258530,2119184,162385
2015,6,858643,481113,2296733,2083737,173740
2015,7,901248,449991,2334354,2002174,160398
2015,8,816451,418392,2353699,1943130,136669
2015,9,865949,446379,2402077,1924584,153433
2015,10,966747,477128,2478479,1943349,161946
2015,11,828806,389756,2464485,1868567,144584
2015,12,780980,361637,2380616,1771225,129151
2016,1,971986,477577,2425874,1788708,122235
2016,2,966486,504182,2573991,1870622,154063
2016,3,921043,508891,2645853,1964396,200847
2016,4,894530,581809,2524448,2033640,172096
2016,5,852952,466150,2450457,1995897,158632
2016,6,907184,443594,2472437,1948063,162804
2016,7,890968,400981,2460382,1863187,141648
2016,8,888039,412746,2499951,1835734,135532
2016,9,944437,431972,2563266,1830173,149439
2016,10,956134,424028,2612758,1823987,148147
2016,11,893015,381761,2610248,1767081,139785
2016,12,841606,335735,2519844,1665211,122651
2017,1,1007298,474938,2591732,1716027,118895
2017,2,1014039,465468,2724603,1779833,149816
2017,3,980579,491188,2806583,1879857,196790
2017,4,923450,555596,2676726,1939779,164258
2017,5,912056,452813,2614855,1921183,156805
2017,6,964041,420940,2632079,1869242,156012
2017,7,922441,380718,2616575,1785034,135796
2017,8,943856,403206,2660853,1767273,129520
2017,9,997035,414578,2720143,1766027,144580
2017,10,1023751,409910,2800172,1769272,145768
2017,11,942437,366217,2786973,1707048,133180
2017,12,922213,324839,2725070,1611495,119897
2018,1,1030077,441428,2750177,1640863,110778
2018,2,1015561,431557,2838833,1689667,136880
2018,3,1010782,459065,2893473,1781453,181109
2018,4,966323,544826,2785851,1867211,157731
2018,5,962465,446742,2753348,1871398,153632
2018,6,966055,381829,2729367,1799382,141341
2018,7,956726,371586,2722697,1722960,129656
2018,8,975576,383599,2749257,1696982,121418
2018,9,931362,352638,2730638,1662893,123144
2018,10,1070360,422089,2838709,1712073,140718
2018,11,966635,357488,2824815,1666623,127971
2018,12,869219,302016,2745553,1582695,111196
2019,1,1058693,435168,2768171,1616141,105178
2019,2,1036945,415866,2857040,1664145,130040
2019,3,949673,423219,2883601,1736185,165668
2019,4,963317,522046,2768214,1821629,145420
2019,5,938680,417227,2696256,1817353,135994
2019,6,925624,372963,2683378,1772821,130152
2019,7,980223,395727,2708985,1743906,129524
2019,8,917772,349542,2679825,1698204,108712
2019,9,917174,378174,2695305,1698528,122367
2019,10,1027758,389973,2730027,1705665,129485
2019,11,901638,338040,2702084,1658507,115142
2019,12,887713,314030,2666128,1586932,104964
2020,1,889131,434832,2566525,1638787,90646
2020,2,897143,390263,2566745,1680543,109810
2020,3,834554,410542,2492339,1748482,151475
2020,4,656148,469017,2197079,1779720,106284
2020,5,637335,356652,1938331,1761499,80622
2020,6,756004,434634,1929801,1835032,103832
2020,7,700142,388642,1958833,1869444,102429
2020,8,662446,340537,1966645,1905688,90066
2020,9,758091,368736,2009091,1941943,102575
2020,10,788994,400930,2097019,1987640,110008
2020,11,708540,321612,2116356,1936448,98340
2020,12,722181,301488,2095200,1849911,91789
2021,1,786404,392255,2112352,1840958,81808
2021,2,766349,397068,2170424,1888878,104087
2021,3,828752,454752,2243807,1994724,153588
2021,4,756046,536969,2166594,2090998,123226
2021,5,686225,353836,2097799,2047357,104066
2021,6,796732,373316,2119340,1996420,111918
2021,7,757908,358703,2121072,1915744,96950
2021,8,728744,353719,2157779,1918434,88480
2021,9,808144,368414,2201520,1928503,101162
2021,10,857490,386667,2278366,1956339,102364
2021,11,796026,353685,2334919,1939757,100592
2021,12,810380,309878,2347415,1866757,90989
2022,1,901584,415921,2407171,1891776,83192
2022,2,838870,381667,2452617,1920304,100667
2022,3,891115,437691,2506771,1998683,139658
2022,4,848713,517730,2422422,2070382,113198
2022,5,804101,408168,2402440,2081957,106320
2022,6,892186,385556,2439105,2041455,111474
2022,7,854639,340818,2435548,1938286,94684
2022,8,838699,358331,2474284,1913161,90409
2022,9,887538,362248,2501340,1896149,99274
2022,10,924946,362413,2545521,1891102,99030
2022,11,865294,331099,2567252,1840339,94972
2022,12,849133,290197,2534023,1745771,84304
2023,1,939104,404647,2562353,1781603,78121
2023,2,926278,403858,2623567,1858599,105793
2023,3,897567,420443,2628578,1939725,149604
2023,4,841369,501142,2490496,2000988,112441
2023,5,834316,404957,2435500,2019854,106895
2023,6,873887,366745,2442531,1992785,106560
2023,7,833218,342392,2426646,1921369,92749
2023,8,847237,349563,2448162,1906294,88204